iter	Passed	Remaining
0	2	2472
1	4	2424
2	7	2405
3	9	2359
4	11	2387
5	14	2401
6	17	2412
7	19	2399
8	21	2393
9	24	2377
10	26	2380
11	28	2384
12	31	2384
13	33	2387
14	36	2382
15	38	2375
16	41	2372
17	43	2361
18	45	2352
19	47	2351
20	50	2345
21	52	2339
22	55	2336
23	57	2341
24	59	2332
25	62	2330
26	64	2316
27	66	2305
28	68	2301
29	71	2300
30	73	2301
31	75	2298
32	78	2297
33	80	2292
34	83	2288
35	85	2290
36	87	2282
37	90	2290
38	92	2282
39	94	2274
40	96	2265
41	98	2257
42	101	2252
43	103	2242
44	105	2236
45	107	2226
46	109	2219
47	111	2212
48	113	2207
49	115	2200
50	118	2196
51	120	2195
52	122	2190
53	124	2185
54	126	2179
55	129	2174
56	131	2168
57	133	2168
58	135	2165
59	137	2155
60	139	2148
61	141	2143
62	144	2142
63	146	2137
64	148	2133
65	150	2129
66	152	2123
67	154	2122
68	156	2118
69	159	2114
70	161	2111
71	164	2113
72	166	2111
73	168	2107
74	170	2105
75	172	2100
76	175	2098
77	177	2093
78	178	2086
79	181	2081
80	183	2078
81	185	2076
82	187	2074
83	190	2075
84	192	2076
85	195	2078
86	198	2078
87	200	2073
88	202	2070
89	204	2070
90	207	2069
91	209	2069
92	212	2068
93	214	2066
94	216	2061
95	218	2059
96	221	2058
97	223	2055
98	225	2056
99	228	2052
100	230	2050
101	232	2049
102	235	2046
103	237	2044
104	239	2040
105	241	2036
106	243	2035
107	246	2034
108	248	2031
109	250	2027
110	252	2024
111	255	2023
112	257	2021
113	259	2015
114	261	2010
115	263	2006
116	265	2006
117	268	2004
118	270	2001
119	272	1999
120	274	1997
121	277	1993
122	279	1992
123	281	1989
124	283	1987
125	286	1986
126	288	1983
127	290	1980
128	292	1978
129	294	1973
130	296	1969
131	299	1969
132	302	1969
133	304	1967
134	307	1968
135	309	1968
136	312	1967
137	314	1966
138	317	1965
139	319	1965
140	322	1963
141	324	1961
142	327	1962
143	330	1963
144	332	1961
145	334	1959
146	337	1957
147	339	1956
148	341	1950
149	344	1950
150	346	1949
151	348	1946
152	351	1943
153	353	1942
154	356	1943
155	359	1943
156	361	1941
157	364	1940
158	365	1932
159	367	1930
160	370	1929
161	372	1929
162	375	1930
163	378	1929
164	380	1926
165	382	1922
166	385	1922
167	387	1921
168	390	1921
169	392	1918
170	395	1916
171	397	1915
172	399	1911
173	402	1908
174	404	1906
175	406	1905
176	409	1902
177	411	1899
178	413	1896
179	416	1895
180	418	1893
181	420	1890
182	422	1888
183	424	1880
184	426	1878
185	428	1875
186	430	1871
187	432	1869
188	435	1867
189	437	1864
190	439	1862
191	442	1860
192	444	1859
193	447	1858
194	450	1861
195	453	1861
196	456	1862
197	459	1860
198	461	1859
199	464	1857
200	466	1855
201	468	1852
202	471	1849
203	472	1845
204	475	1843
205	477	1841
206	479	1835
207	481	1833
208	483	1830
209	485	1826
210	488	1824
211	490	1823
212	492	1820
213	495	1818
214	497	1817
215	500	1814
216	502	1811
217	504	1810
218	506	1808
219	509	1805
220	511	1803
221	513	1801
222	516	1798
223	518	1796
224	521	1794
225	523	1793
226	525	1791
227	528	1788
228	530	1786
229	533	1785
230	535	1783
231	538	1781
232	540	1778
233	543	1777
234	545	1776
235	548	1774
236	550	1771
237	552	1768
238	554	1766
239	556	1763
240	559	1760
241	561	1758
242	563	1756
243	566	1753
244	568	1751
245	570	1749
246	573	1747
247	575	1744
248	577	1742
249	580	1740
250	582	1739
251	585	1736
252	587	1734
253	589	1732
254	592	1730
255	594	1728
256	597	1725
257	599	1723
258	601	1721
259	604	1719
260	606	1717
261	608	1714
262	610	1711
263	613	1710
264	616	1708
265	618	1705
266	620	1702
267	622	1700
268	624	1696
269	626	1694
270	628	1692
271	631	1689
272	633	1686
273	635	1684
274	637	1680
275	639	1678
276	641	1674
277	643	1671
278	645	1668
279	648	1666
280	650	1663
281	652	1661
282	654	1657
283	656	1655
284	658	1652
285	660	1649
286	662	1646
287	665	1645
288	667	1643
289	670	1641
290	672	1637
291	674	1635
292	676	1632
293	679	1630
294	681	1628
295	683	1624
296	685	1621
297	686	1618
298	689	1617
299	691	1614
300	693	1611
301	695	1608
302	697	1605
